sentence_id	sentence	sentence_domain	source	is_used	clips_count
0265e7bb299250956adcea1a6f948202f25c9771e95d1a3138ae86c4d03d8efb	그거 오타쿠 게임 유저들을 말하는 거잖아.		self	1	0
11042d01f982dd858c1e43a1d7b6fc0548ca3ecc19cbbed2c331605f775496d5	입 닫아.		Self Citation	1	0
13266f46a88877f7ecdd19ec554db9bea306d1cb3976433b0ffc819829cd098f	당동역에서 까치울역까지는 아마 한 시간 좀 안 되게 걸릴 거야	general	Self Citation	1	0
13b02fb402bf00cda7c1aa358832709a25e6accf3be79303638afe254f19ed4c	전화 받아요.		Self Citation	1	0
1b064c43d531be79388ceadd3903719ac62f7605eb45b1754e02d69f1587d271	내가 너로 여호와를 의뢰하게 하려 하여 이것을 오늘 특별히 네게 알게 하였노니		sentence-collector	1	0
1c07138a40fb20049e1cdd82a91b3d503ea8553e8fdc56be61fa19363d01ec65	다시!		Self Citation	1	0
1d6eeae1f9354336b0e183b44e67ad8a818f6bb7bbde083222490447b2311298	도와줄까?		Self Citation	1	0
262c886aecaee8e2b6f27e27bb5cf0cff6a14594a50c06bbcc8c4611b5b1a952	있잖아.		Self Citation	1	0
26ee78815f4039014d76dd660fb79967241f3765ff8fcd1d9fc5b0479fbd0060	분명히 저 놈이야.		Self Citation	1	0
2ae24532bed15fda08f712aff2476e232a1adda3b5f0b52ca466ac2a699f9a48	익숙해질 거야.		Self Citation	1	0
2c2eae78da47723ffac9e3c6e0bf618bdeda04cddf3912298ee793d385731c1b	재밌군요.		Self Citation	1	0
2c3092d890d60a01d547b6ad5a644c0150f126821a3f60edb17bdb5339562ce6	내가 틀렸어.		Self Citation	1	0
2c4837e80e72806d4813cccae90b1f7d38fd17a7f58b72ed437ffedf427e554a	그걸론 충분하지 않아.		Self Citation	1	0
2c6d0a375f8e6ab47c2dcfb715ddb38dcd7a8340825d91d0b0a31a964ac16d45	생각해 볼게.		Self Citation	1	0
2d491c458eabd33dd8b6ae6d0c312fea2fb554b192c9343dd54d00d734fa634c	너였구나!		Self Citation	1	0
2d56ee6bf0560ebca6ad213afa79e96489075e3eee7a6a7e4da82085c3c0517d	싫어요!		Self Citation	1	0
2e91c59da8870e95aec80031f2b1e570320df36f5a27ae42648d9bba01d57124	시공의 폭풍이 정말 최고라는 것 정도는 나도 알고 있단말이야.		self	1	0
2e9d66558db46765b7675d0ad68d8c250f86fc5f963393bb5d70973b762e22c7	여기도 좀 바로 정상화를 할 필요가 있는 것 같다.		Self Citation	1	0
2f051b5f5fbfe5eb4482c37e62defafeed251f15bc19f8f5425e9175911ca49d	복잡해요.		Self Citation	1	0
2fec0aaade2ade17046115187ec72d2e49ca37842462de0d899226b307281504	안전하지 않아.		Self Citation	1	0
3026587263a6f4ada51cc0e989426f0496cb988ea831c135084c023c6d5ca484	말도 안 돼!		Self Citation	1	0
3029627babb211aa5550bd81e0bba6ded3a40fde75bd5bf44e93ef12e2daef98	아주 많이요.		Self Citation	1	0
30361026af17133aa1eadc8ddcc8035fd99ef33e2cd0c15887f5d12ef4a03a27	얘야!		Self Citation	1	0
31f6f493fb71bfd24e6919ae4ada98b89e175b6d51aba6f768a58f71b655cab8	왼쪽을 봐.		Self Citation	1	0
32d40eb7c94e49eeb749a777232dcba6de109c69e0093a25a560199a7aa0dc9f	놓치지 마세요.		Self Citation	1	0
32f85796e338a3dc2a509411e78e2fc953259f17490b09941bb15fb38691b2ea	아쉽게도 아무것도 못 봤어.		Self Citation	1	0
339a56a4ccaf50fe713034a3081ed7e7a7f8bb174a9f41a22748d68b6315a1ee	아니, 그렇지 않아.		Self Citation	1	0
