sentence_id	sentence	locale	reason
4c3c8bd72242286bfd995896388634db8f1259dbef039f945e5138f576fd6434	하나님이 뭍을 땅이라 칭하시고 모인 물을 바다라 칭하시니라 하나님의 보시기에 좋았더라	ko	??? ??
1719550c5847bad44b6178d521929b0fd160f4f5f75073c6f112251a33e81699	그래서 그들은 언제나 연못를 바라보며 위안을 얻었다.	ko	grammar-or-spelling
139c7cf1d98e7a861a730a4eff0517ffcc61cfb229846231a8c515ede61cb0de	영신은 이야기도 못 하고 장위에 배인 고향의 음식을 걸터듬해서 먹었다.	ko	??? ?? ??? ?? ?? ? ???? 
5258e5c1ffae29a6d228f1fefbd1093c4c35c7617cd55e3af731ea4a62ac225f	노하기를 더디하는 것이 사람의 슬기요 허물을 용서하는 것이 자기의 영광이니라	ko	???? ??
55d4a8de7abf183dbcfcaffcc6feeaa21eaffef668a2c9f96d4beda98ab379c5	그러고 혼자 얼굴에 피가 끓어올라오는 듯이 부끄러웠다.	ko	grammar-or-spelling
5213480ef3dcb87f69a68af3f471db88a6407b0330728d830f1db06e90125bd5	꿀떡꿀떡 하고 젖 넘어가는 소리가 없으니 빈 젖을 빤다는 것도 짐작할는지 모르리라.	ko	grammar-or-spelling
369025fcb7ba6fec85f611f23bbb0a3c27bd56e0ab41151759bf011a4c7cc765	일하고 들어온 사람한테 말는 거 봐라	ko	grammar-or-spelling
5ae0d272cd367688643eae834ce1f7a6e547af8183c203499279bcc926cc9c48	나는 이 모욕을 씻어 버리려고 그동안 두서너 달 두고 모든 것을 준비하였읍니다.	ko	grammar-or-spelling
590f3d96916ac59a7a3954f0370ed297a263372f03733ac7249dfc7812e1c772	의사란 놈들이 있 대두 그저 돈에만 눈들이 번하지.	ko	grammar-or-spelling
550d5ee9bccdfccce0c1913d14e8c96ecc8516a2bae6fff47211604ca99a41f9	왜 이리우	ko	grammar-or-spelling
2b425aebeddc27f4c55d58f462f4acff4b332d864b319f701343042e6ae430a9	는 듯이 고개를 까땍까땍하면서 따개질을 하듯이 동혁의 눈치를 살핀다.	ko	grammar-or-spelling
54736c9f0b826a86dec20eac04623bb31df7e1c522cd9c76a8850fac45da055d	그래서 두루 찾아보니 계집애는 벌써 연못를 돌아가고 있다.	ko	grammar-or-spelling
14e07dec3cbede1ec210c7131e0e96602e35fc7924d25a257f8db49b80c93d91	앞으로 다섯 해 안에는 결혼을 안 헌다구 장담을 허더니 허는 수 있나.	ko	grammar-or-spelling
5c3907759bd71634954cfa6745121bbc0104ec141b41e749c462a59891fb5ba7	후진들 헌테일을 맡겨두 될 만치 기초가 든든히 선 뒤에 우리는 결혼을 허십시다.	ko	grammar-or-spelling
6b9aba1b522b380ea3b027f7ff7b8f6472ca987406395b8577ca1959bafa766a	그리고 어디 로이 봇짐을 옮길까 하고 생각해 보았다.	ko	grammar-or-spelling
369025fcb7ba6fec85f611f23bbb0a3c27bd56e0ab41151759bf011a4c7cc765	일하고 들어온 사람한테 말는 거 봐라	ko	grammar-or-spelling
699d3e67a927170322dafc058dde97544256fba51db9765085548ade4307704e	계몽운동이 우리에게 있어서 가장 시급헌 사업 중의 하나인 것도 사실입니다.	ko	grammar-or-spelling
2b425aebeddc27f4c55d58f462f4acff4b332d864b319f701343042e6ae430a9	는 듯이 고개를 까땍까땍하면서 따개질을 하듯이 동혁의 눈치를 살핀다.	ko	grammar-or-spelling
44996b0c4762521217d644074f429f28f0e997f75b246899200eb1c972e9124d	뜻하지 않은 사람의 음성에 저편은 꿈찔 놀라서 오줌을 줄이치고 물러선다.	ko	grammar-or-spelling
9d76e2934c7f7366be1e13977fd2572de3e9953779e90e04365cde09594f8b1b	이놈아, 그걸 먹고 취할 내냐, 어서 더 먹어.	ko	grammar-or-spelling
9b77d1ec201f059e2a3ee209518807c098b8d756408a47ac824f36c4e1a4b317	최후의 일 인동 혁은 관 모서리에 얼굴을 부비며 연거푸 사랑하는 사람의 이름을 불렀다.	ko	grammar-or-spelling
9b77d1ec201f059e2a3ee209518807c098b8d756408a47ac824f36c4e1a4b317	최후의 일 인동 혁은 관 모서리에 얼굴을 부비며 연거푸 사랑하는 사람의 이름을 불렀다.	ko	difficult-pronounce
a37ef1a6b435c6d165140b944dbb5a122a0a210aba52153e93f266e20f0ca61e	뜯어서 먼첨 보고 싶은 마음이 생기며 편지 든 손이 떨린다.	ko	difficult-pronounce
a42e26206b60a9928fc9636315e0b821c190afe0397d9461ad32b0b4f26ed34a	이런 계제에 아들을 찾아온 여학생을 먼발치로라도 보고 싶었던 것이다.	ko	difficult-pronounce
97c0d2eb542ec7726ae276c5a25dc09783e42b4d7f45736350ffd3a33765dac3	하고 춘우는 다시 눈물이 두 눈에 핑그르르 돈다.	ko	incomplete sentence
5305f5f77f2f56e6404434b616fae45dea6176ef69960cbc74bb60a95896137e	이것이 유효 거리 팔백 미터까지 나온다는데	ko	incomplete sentence
a327586f79bb6ca00c161833fafe02f371f45bde86ae0fac64c1a70e1b2e63f4	여호와께서는 지식있는 자를 그 눈으로 지키시나 궤사한 자의 말은 패하게 하시느니라	ko	difficult-pronounce
a76f904ce636d4c9758871bf930a4b1fb656dd94dae6063ffeeb8116860b8270	추어탕을 끓이는 솥뚜껑을 열 적마다	ko	incomplete sentence
a4c02f70229f9cbd7cd1864c7cd69849403061c9d8dfe3ba8f429b97cfd8aa14	아담이 어떻게 이름을 짓나 보시려고 그것들을 그에게로 이끌어 이르시니	ko	incomplete sentence
